split,strategy_action,candidate_feature,reason_label,applicant_count,avg_reason_rank,avg_shap_value,avg_pd,bad_rate,avg_feature_value,action_applicant_count,applicant_share_in_action
final_holdout,manual_review,installment_recent_6m_late_days_mean,近期还款延迟或逾期行为,2,4.0,0.0948439729972131,0.15158401747957972,0.5,2.285714328289032,6146,0.0003254149040026033
final_holdout,manual_review,bureau_overdue_loan_ratio,外部征信历史风险信号,2,5.0,0.0894957285210926,0.12197448374272071,0.0,0.3333333432674408,6146,0.0003254149040026033
final_holdout,manual_review,installment_recent_12m_late_days_max,近期还款延迟或逾期行为,2,5.0,0.0846016437711285,0.1590244980973065,0.0,13.5,6146,0.0003254149040026033
final_holdout,manual_review,ext_source_std,外部综合评分/外部数据风险信号,2,4.0,0.08265633948220728,0.15193880867464232,0.0,0.00026000650905189104,6146,0.0003254149040026033
final_holdout,manual_review,catoh__OCCUPATION_TYPE__02_Laborers,模型识别的申请资料风险信号,2,4.5,0.08197093737789905,0.15260748698589818,1.0,1.0,6146,0.0003254149040026033
final_holdout,manual_review,previous_refused_credit_to_application_mean,历史申请被拒记录较多,2,4.5,0.0773794478537681,0.12816708376361396,0.0,0.8976312875747681,6146,0.0003254149040026033
final_holdout,manual_review,bureau_credit_card_debt_to_credit_mean,征信负债相对授信额度偏高,2,4.5,0.06895340713690368,0.14615516551069602,0.0,0.9456207454204559,6146,0.0003254149040026033
final_holdout,manual_review,bureau_recent_24m_loan_count,外部征信历史风险信号,1,3.0,0.10857053424933653,0.15297854581832615,0.0,8.0,6146,0.00016270745200130165
final_holdout,manual_review,COMMONAREA_MEDI,模型识别的申请资料风险信号,1,4.0,0.10602354812080271,0.13923598362989836,1.0,0.0,6146,0.00016270745200130165
final_holdout,manual_review,credit_card_recent_12m_utilization_mean,近期信用卡额度使用率偏高,1,3.0,0.09877619924713588,0.15254173872999702,0.0,1.0393465757369995,6146,0.00016270745200130165
final_holdout,manual_review,previous_recent_12m_credit_mean,历史申请与授信表现风险,1,4.0,0.09262781072371765,0.12544042331893554,0.0,292500.0,6146,0.00016270745200130165
final_holdout,manual_review,installment_recent_24m_payment_sum,历史分期还款表现风险,1,5.0,0.0875151481228075,0.13659333908500707,1.0,16555.05078125,6146,0.00016270745200130165
final_holdout,manual_review,credit_card_recent_6m_def_dpd_max,近期还款延迟或逾期行为,1,5.0,0.08644059821058817,0.16063815754803504,0.0,8.0,6146,0.00016270745200130165
final_holdout,manual_review,bureau_balance_bad_month_ratio,外部征信历史风险信号,1,5.0,0.08567174653641105,0.18059231031833786,0.0,0.36000001430511475,6146,0.00016270745200130165
final_holdout,manual_review,credit_card_balance_max,信用卡历史使用表现风险,1,3.0,0.08409171579141851,0.1243286057048921,0.0,801405.375,6146,0.00016270745200130165
final_holdout,manual_review,previous_recent_12m_refusal_rate,历史申请被拒记录较多,1,4.0,0.08124812135706769,0.12647151245864935,1.0,1.0,6146,0.00016270745200130165
final_holdout,manual_review,REGION_POPULATION_RELATIVE,模型识别的申请资料风险信号,1,5.0,0.07202095762170098,0.12232325557992059,0.0,0.028663000091910362,6146,0.00016270745200130165
final_holdout,manual_review,previous_approved_cnt_payment_mean,历史申请与授信表现风险,1,4.0,0.0606106140315716,0.11871642415523281,0.0,36.0,6146,0.00016270745200130165
final_holdout,manual_review,installment_recent_12m_payment_sum,历史分期还款表现风险,1,5.0,0.05932957351491254,0.1243286057048921,0.0,2333.159912109375,6146,0.00016270745200130165
final_holdout,manual_review,bureau_mean_debt,外部征信历史风险信号,1,5.0,0.051693843808801154,0.12100602378447088,0.0,157659.75,6146,0.00016270745200130165
validation,decline,ext_source_mean,外部综合评分/外部数据风险信号,5630,1.0621669626998225,0.7448907507934059,0.3160396624291867,0.31687388987566606,0.2827456935476841,6151,0.9152983254755325
validation,decline,employment_years,就业稳定性相关风险,2546,3.6516103692065984,0.15354168821268588,0.29746005571171485,0.2945797329143755,1.8441898376159283,6151,0.4139164363518127
validation,decline,catfreq__CODE_GENDER,模型识别的申请资料风险信号,2217,3.1587731168245377,0.1778405395687244,0.3052650239921259,0.3085250338294993,0.34137457609176636,6151,0.36042919850430827
validation,decline,ext_source_min,外部综合评分/外部数据风险信号,1912,3.098326359832636,0.19924726802643952,0.3403048160576506,0.3540794979079498,0.05790101605833577,6151,0.31084376524142415
validation,decline,credit_to_annuity_ratio,模型识别的申请资料风险信号,1866,3.5241157556270095,0.16988249573845268,0.3149307806089417,0.32690246516613075,17.305912223276216,6151,0.3033653064542351
validation,decline,goods_to_credit_ratio,模型识别的申请资料风险信号,1729,3.393290919606709,0.17892456009056418,0.3187744859055947,0.3360323886639676,0.7577080348104739,6151,0.2810925052836937
validation,decline,AMT_ANNUITY,模型识别的申请资料风险信号,1444,3.3538781163434903,0.17044867726028212,0.30164127031887755,0.2894736842105263,39527.08379501385,6151,0.23475857584132662
validation,decline,installment_payment_sum,历史分期还款表现风险,1262,3.554675118858954,0.16320277208440917,0.30701448388913155,0.3185419968304279,47698.09190315452,6151,0.20516989107462202
validation,decline,bureau_recent_24m_debt_to_credit_max,征信负债相对授信额度偏高,1227,3.215158924205379,0.18562377620959145,0.3294328702659402,0.32192339038304807,14.984573110051532,6151,0.1994797593887173
validation,decline,credit_card_recent_6m_utilization_max,近期信用卡额度使用率偏高,1081,2.1137835337650324,0.2727750859789641,0.3339704240823827,0.3524514338575393,1.0468479024933843,6151,0.17574378149894326
validation,decline,EXT_SOURCE_3,外部综合评分/外部数据风险信号,1005,3.7512437810945274,0.15855070699505536,0.33596947073998285,0.3492537313432836,0.12023477726453795,6151,0.1633880669809787
validation,decline,previous_refusal_rate,历史申请被拒记录较多,853,3.3974208675263773,0.16182423589556896,0.32049341803364534,0.31887456037514655,0.6084645533407979,6151,0.13867663794504959
validation,decline,bureau_credit_card_debt_to_credit_max,征信负债相对授信额度偏高,774,3.648578811369509,0.16428830618259804,0.3077381234781461,0.29328165374677,25.005452508766215,6151,0.12583319785400748
validation,decline,installment_recent_24m_late_days_mean,近期还款延迟或逾期行为,518,2.5617760617760617,0.22105733576951908,0.32673037738291993,0.361003861003861,6.237514832707906,6151,0.08421394895139002
validation,decline,bureau_max_credit_max_overdue,外部征信历史风险信号,492,3.3760162601626016,0.18388798473886794,0.30275764795742754,0.29471544715447157,42075.32221501048,6151,0.07998699398471794
validation,decline,pos_recent_24m_instalment_future_mean,POS/现金贷历史表现风险,410,3.7634146341463413,0.14182251408518926,0.29435043506051695,0.33170731707317075,33.21456567717762,6151,0.06665582832059827
validation,decline,id_publish_years,模型识别的申请资料风险信号,403,3.096774193548387,0.1961936310542235,0.3126460921533639,0.2977667493796526,0.48542841918137913,6151,0.06551780198341733
validation,decline,EXT_SOURCE_1,外部综合评分/外部数据风险信号,377,4.204244031830239,0.14414573664244615,0.28859214494433344,0.259946949602122,0.0836563449363214,6151,0.06129084701674525
